Meiran, EuXfpqFSY123KqQWK6eVnXZqXFr7bB7Fun5q5_m11algYP-f, DIAMOND I, 69
wiktorek miki, Jzxccfd_fc1NcjB5YNJq7sb3Dcg-1EfwkOWhuz_33H87_-ca, DIAMOND I, 0
IIllIIlllllIIII, 04eDpvk0S_Rn-l3Vwc_JVZ872pERqCCtQrN609_qfgT0gfHk, DIAMOND I, 16
Braníx, pebSe2xcJh14UTuX0BwKnvJhJLZC_9ObXdQmqSrqZcD9VRLE, DIAMOND I, 43
TheySeeMéDraving, -x_Cv2wC9dNxXZQx8tHIYQj8ki9vJnZx8mqZl9p1EmjLNqPA, DIAMOND I, 70
ISOTUHMAISI, z3zlTYAhTZOoPeHqsTI2J3PxZHU31luPMBvsMNvlP_VlZDNp, DIAMOND I, 0
Memcuk, lsZkA04FFM4sgNYRmnM-0kQtzWuGDBppEWw2OOSVU_ZfqUF9, DIAMOND I, 0
UUUUUUUUUUUU, panzkc-2rTP3PO55f3ms18A8_wps0m0gB9dRmPQoEdD1J2v5, DIAMOND I, 1
Rambe, foqrBw8TPpUPPX_dL17OJA4t-G5a9ECvUZrRvh4emRN4dJoX, DIAMOND I, 8
PAFKØ, ezpokijcwnnC-b5OiKEl1Ahk0M5wROXxmHCM5xGYLrJeNlUm, DIAMOND I, 37
Nówáy, LnsLdGvrSsMCpqL6_GjJbtzidvjKuqoFWZ0bn54zDIZ8N7rq, DIAMOND I, 18
Baepsae Odium, xs1hfTb4O7KYaMZcYIqad0WbbICt5c6-1VmF-bw4yVCm85qX, DIAMOND I, 88
way i see things, E1v2mbYdlWU9KNmPAO4XOjqYC7Xw9LwdxJH-Cmx0wzf2_Q9n, DIAMOND I, 100
Criticall, xqLKSA975Olxycz5xo13ScPru-OQZQrg80h_kCRObMfYLrVI, DIAMOND I, 51
Pocket for rocks, QmXr5h9m8NOBUpz2ezeworXucCau4PTtPn8AHwePX0FW_TjA, DIAMOND I, 2
friendly lizard, ezMf7QHsOYcr0TEHb8SmKE5IEysSQLLKPSW-Zk1hR4a16vGL, DIAMOND I, 100
King PsYcraw, cJhdaBZKQH7uqYNS-ElzJz8eRh-VsdwJrZ60GqLx7MohOE54, DIAMOND I, 50
BURNINGHTEMJUICE, jMKxidsIP5qSsLwpJOsn0QZu6KhOmFbbE0xeUiE8u_uDRv2j, DIAMOND I, 42
Sir Angry Yordle, DCpPQVgT9Pvthvu_eEryrxb__ugrLosCy0AlVer32SWVZzDG, DIAMOND I, 19
Cow1337killr, 7THaWTKUIwauCoKWgtkWnmi4YemXecoG_HclNsB0rO9sYBcA, DIAMOND I, 100
GripexMazdaMx5, Hx20GcGyxZbPXw_xB5qkygdaU0Tz-lTrFFdllO8iHdUGfbYg, DIAMOND I, 29
sayplz, 6ZlPlO0HNzGtUiArr2oV8n9xpkfRwAq0JLwaRmbD3vLcX5YO, DIAMOND I, 56
SNAKESNAKESNAKE, tPpVK4YFS5pvu13W96GyuR62nzdHWJEaOJGFuyaP5e5JGXww, DIAMOND I, 25
Nathan Expl0sion, fWJPrAey9uMNUzFr3ghss0qQQs6jxSlwDDlDuvXUN9MvnRSs, DIAMOND I, 75
Kaiser Walzer, DWp_41VZXYvaAvTylP0KBPZbUYgZQ3LQbgk7TDp9Rkqstw8M, DIAMOND I, 0
OneBaldGuy, Jadg6P8-kAWZlhEkWb4bifYwfEbOHKf85NdoLaYaKy-N0nv0, DIAMOND I, 17
Positivity bot, RYHBvjllOBr4hLMj9McOHTjfw_IEr5bxHb3g71SBQFIjaQq1, DIAMOND I, 36
pepega adc1, B9GI-fB_uDIZ8l4uib6k4fnTUc5L6tvbFYL4d7H4Je4barIo, DIAMOND I, 28
TowerUP, RmMeeIwfnalCTWyK1wSM9v5mbEqvLANS2389SvAZ6oHrBILu, DIAMOND I, 75
Rh1oni, 4ZjafIwZLjWKMALeiDBV86p7h_GaXXFW_2gYmEneVTkd7pmp, DIAMOND I, 57
Nikoła, XCCa1-DyGHQeUOCe-6MWHec8r9CcaSuT-qCTxV6ixVjd3d63, DIAMOND I, 9
BetterBlameJung, t3VSQkm4PYclJRnN2l7fz3VeeF-Mq_PzwsodlITu-vQCENPE, DIAMOND I, 0
Depo, _7EvZ8PDQo5jBGNK_8NdwYjTtniC5qkZNsR78nsclSeEbp1i, DIAMOND I, 32
